Input	Output
Usually	Usually
Occasionally	Occasionally
Rarely	Rarely
Never	Never
I don't know what tidyverse is	I don't know what tidyverse is
Generalmente	Usually
No sé qué es el paquete tidyverse	I don't know what tidyverse is
De vez en cuando	Occasionally
Nunca	Never
Raramente	Rarely

