Input	Output
By myself using a book or online documentation that is not part of a formal course	My myself
Through an online course or courses (e.g., Coursera, edX, Datacamp)	Online course
By taking an In-person course (including bootcamps and workshops as well as more formal courses)	In-person course
On the job working with colleagues who know R	On the job
