Input	Output
Meses	Months
Años	Years
Semanas	Weeks
Aún no me siento competente en R	I don't feel proficient in R yet
Días	Days
Weeks	Weeks
Days	Days
Years	Years
Months	Months
I don't feel proficient in R yet.	I don't feel proficient in R yet
