Qgender_coded,n
masculino,125
femenino,52
hombre,24
NA,21
mujer,15
male,10
varón,3
female,2
masculina,2
dinosaurio,1
femenimo,1
femeninp,1
himbte,1
hombre macho pecho peludo jajaja,1
masc,1
masc.,1
masculini,1
masculino9,1
ninguno,1
varon,1
